epoch;loss;time;ler
000;130.767;1388.807;0.756
001;90.258;1426.448;0.464
002;70.133;1476.412;0.370
003;58.353;2431.102;0.283
004;49.634;2576.370;0.228
005;43.111;2588.564;0.197
006;38.421;2635.959;0.175
007;34.806;2465.579;0.163
008;31.763;2450.587;0.148
009;29.492;2450.202;0.139
010;27.823;2322.139;0.131
011;25.587;2371.674;0.123
012;24.265;2337.323;0.120
013;22.899;1577.567;0.113
014;21.713;1603.660;0.110
015;20.619;2224.153;0.105
016;19.770;2018.079;0.103
017;18.907;2254.325;0.103
018;18.161;2366.792;0.098
019;17.350;1641.218;0.096
020;16.700;1632.664;0.094
021;15.998;1592.186;0.091
022;15.427;1653.429;0.093
023;14.923;1627.879;0.094
024;14.559;1611.126;0.090
025;13.835;1623.431;0.090
026;13.460;1594.135;0.087
027;13.060;1611.293;0.087
028;12.738;1537.360;0.084
029;12.326;1526.499;0.090
030;11.973;1557.090;0.085
031;11.647;1557.855;0.083
032;11.428;1554.645;0.084
033;11.084;1588.355;0.082
034;10.772;1584.623;0.083
035;10.517;1627.269;0.082
036;10.247;1597.719;0.078
037;10.148;1600.524;0.079
038;9.822;1634.609;0.077
039;9.531;1603.801;0.080
040;9.501;1596.367;0.080
041;9.167;1852.683;0.082
042;9.207;1652.678;0.078
043;8.835;1620.937;0.081
044;8.675;1786.743;0.081
045;8.452;1585.579;0.080
046;8.306;1616.463;0.081
047;8.137;1705.602;0.078
048;8.477;1718.691;0.078
049;8.064;2232.552;0.076
050;7.675;2426.281;0.078
051;7.678;2703.621;0.078
052;7.407;2764.952;0.074
053;7.400;2678.152;0.080
054;7.215;2677.228;0.075
055;7.118;1805.614;0.077
056;7.007;1504.089;0.074
057;6.889;1650.116;0.077
058;6.776;2170.664;0.074
059;6.692;2256.271;0.077
060;6.556;2282.568;0.072
061;6.504;2206.541;0.075
062;6.366;2255.725;0.076
063;6.270;2243.737;0.073
064;6.165;2276.507;0.076
065;6.089;2259.933;0.073
066;5.980;2237.094;0.073
067;5.962;2306.074;0.075
068;5.871;2224.544;0.071
069;5.801;2288.285;0.074
070;5.701;2252.877;0.073
071;5.628;2308.657;0.073
072;5.842;2243.635;0.074
073;5.471;2317.367;0.073
074;5.322;2268.502;0.074
075;5.362;2343.649;0.075
076;5.263;2217.444;0.073
077;5.217;2240.703;0.072
078;5.185;2229.405;0.073
079;5.096;2256.097;0.072
080;5.079;2286.243;0.073
081;4.964;2028.446;0.073
082;4.879;2177.329;0.070
083;4.884;2266.957;0.073
084;4.854;1631.623;0.073
085;4.761;1502.881;0.071
086;4.687;1573.672;0.071
087;4.617;1614.864;0.071
088;4.612;1573.817;0.069
089;4.561;1634.145;0.071
090;4.554;1684.070;0.074
091;4.608;1694.814;0.069
092;4.429;1668.856;0.070
093;4.444;1673.670;0.069
094;4.304;1728.313;0.072
095;4.280;1662.990;0.070
096;4.246;1668.268;0.069
097;4.225;1689.308;0.071
098;4.243;1647.569;0.070
099;4.104;1629.490;0.068
100;4.109;1654.114;0.068
101;4.147;1627.640;0.071
102;4.058;1586.240;0.069
103;3.951;1647.374;0.070
104;4.049;1619.316;0.069
105;3.989;1884.833;0.070
106;3.912;2070.814;0.068
107;3.869;2401.125;0.070
108;3.814;2289.322;0.072
109;3.828;2369.671;0.069
110;4.064;2393.166;0.069
111;3.741;1856.375;0.070
112;3.667;2707.306;0.070
113;3.680;2649.198;0.069
114;3.671;2761.311;0.066
115;3.672;2741.739;0.068
116;3.603;2875.451;0.068
117;3.656;2796.870;0.068
118;3.545;2817.147;0.068
119;3.563;2779.799;0.068
120;3.473;2613.421;0.070
121;3.466;1650.445;0.068
122;3.452;2649.492;0.068
123;3.444;2789.313;0.068
124;3.380;2760.249;0.067
125;3.425;2773.166;0.067
126;3.424;2768.534;0.068
127;3.328;2725.182;0.069
128;3.328;2816.473;0.068
129;3.296;2667.079;0.068
130;3.244;2478.088;0.067
131;3.253;3992.569;0.068
132;3.221;3422.423;0.069
133;3.192;4161.635;0.070
134;3.205;3918.774;0.068
135;3.131;3901.374;0.067
136;3.138;3027.427;0.069
137;3.105;4092.975;0.068
138;3.102;3863.305;0.066
139;3.073;3477.781;0.069
140;3.048;3875.094;0.067
141;3.032;3724.061;0.066
142;3.045;3941.986;0.071
143;2.994;3731.110;0.072
144;4.246;3455.162;0.069
145;3.067;3771.639;0.066
146;2.878;3851.827;0.066
147;2.849;3254.975;0.067
148;2.881;1493.916;0.068
149;2.858;1449.532;0.065
150;2.834;1481.269;0.066
151;2.918;1428.673;0.069
152;2.960;1469.408;0.065
153;2.833;1432.125;0.070
154;2.796;1459.063;0.068
155;2.785;1455.539;0.068
156;2.839;1447.879;0.067
157;2.795;1419.969;0.067
158;2.741;1456.901;0.068
159;2.722;1428.148;0.065
160;2.783;1472.691;0.067
161;2.723;1506.679;0.067
162;2.676;1521.654;0.065
163;2.724;1542.718;0.065
164;2.687;1542.009;0.065
165;2.648;1522.529;0.066
166;2.643;1538.277;0.067
167;2.649;1577.631;0.068
168;2.627;1518.904;0.067
169;2.629;1515.417;0.069
170;2.627;1533.113;0.067
171;2.566;1515.048;0.065
172;2.582;1493.901;0.068
