epoch;loss;val_loss;cer;time
000;137.101;137.710;1.000;800.237
001;121.180;99.739;0.648;791.106
002;89.292;72.363;0.467;791.530
003;72.322;62.176;0.360;792.377
004;61.520;50.478;0.299;793.556
005;54.309;49.979;0.253;793.412
006;49.378;40.175;0.234;792.330
007;45.425;36.336;0.213;793.685
008;42.212;36.769;0.212;793.695
009;39.605;35.433;0.189;793.904
010;37.417;32.796;0.183;793.412
011;35.698;33.089;0.178;791.085
012;33.824;31.420;0.164;792.715
013;32.419;28.505;0.154;792.959
014;31.483;31.041;0.152;791.950
015;30.311;26.585;0.145;792.252
016;28.998;25.456;0.141;792.232
017;28.102;26.993;0.140;792.801
018;27.093;26.669;0.148;792.748
019;26.581;24.838;0.137;792.630
020;25.806;23.574;0.130;793.572
021;24.739;26.379;0.134;792.337
022;24.236;25.909;0.126;793.684
023;23.796;24.314;0.128;793.790
024;22.866;23.099;0.122;794.347
025;22.495;24.140;0.123;795.100
026;21.967;23.238;0.127;794.316
027;21.399;24.341;0.128;794.652
028;21.150;23.910;0.122;793.230
029;20.382;21.429;0.110;795.209
030;19.944;24.615;0.110;794.723
031;19.860;21.222;0.112;794.775
032;19.366;22.742;0.110;794.907
033;18.609;21.610;0.110;795.056
034;18.732;21.201;0.106;794.639
035;18.191;21.171;0.113;794.508
036;18.452;21.997;0.106;793.630
037;17.586;24.349;0.111;794.217
038;17.480;21.113;0.105;794.468
039;16.920;21.470;0.111;794.525
040;16.839;22.374;0.110;794.687
